,created,followers,is_user_verified,location,name,retweets,tweet
1337,22-Jul-2020,1373266,True,Kenya | Nairobi,StandardKenya,1,"The trials, whose results are expected in three months time, will evaluate the efficacy and safety of Actemra (tocilizumab) in the treatment of a pneumonia linked to #Covid19 hospitalised patients 

https://t.co/dEH9e0Gp2w"
1361,22-Jul-2020,140054,True,Kenya,HudumaKenya,0,"Appreciating the supplies, the CEO reiterated the need to follow the set guidelines by the Ministry of Health saying, “As Huduma Kenya, we remain alive to those guidelines to ensure the safety of both staff and citizens at large.” https://t.co/fcOvdCBX2s"
1384,22-Jul-2020,4337,False,"Nairobi, Kenya",fredtunya,0,"@SnowyEvergreen @greta The pace of the spread is quickening. However, swift, early &amp; continuous action by gov't among other players has helped keep numbers low, but constant vigilance is needed to stop Covid-19 frm overwhelming health facilities which sadly is the case now. Will home based care help?"
1457,22-Jul-2020,126,False,"Nairobi, Kenya",pinkpistachio44,0,"After a successful plan to ground Miwani sugar company the kibos sugar owners resulted to importation of contaminated sugar which had Mercury,this is a threat to human Health #KibosTrailOfBlood"
1599,22-Jul-2020,96,False,Nairobi Kenya,african_limited,0,"particularly rights to access quality and affordable health care services for both men, women, young people and people with disabilities and education for all children across the globe."
1663,22-Jul-2020,1065,False,"Nairobi, Kenya",MisatiRealtors,0,Construction projects are slowly being re-activated with construction companies putting in place sanitisation booths and acquiring thermal guns to monitor workers’ health.
2155,22-Jul-2020,118,False,"Nakuru, Kenya",StartupGrindNkr,0,"We have attained 4 million Facebook Reach Twitter 2 million &amp; YouTube 200,000 views per month

Join me @MoseaxKenya as we discuss how you can build your genuine fans and turning them to customers RSVP Here Now https://t.co/8oaTeQRUUM
#StartupGrind
#StartupGrindKenya https://t.co/L58lAifxdM"
2661,22-Jul-2020,213,False,"Nairobi, Kenya",phyllwanjiru,0,"@Wishfmradio Wow! This is good initiative by Isaac. Can you share his contact or social media. Thanks
@Wishfmradio"
2748,22-Jul-2020,84,False,"Nairobi, Kenya",JKTingos,0,"@DidmusWaBarasa @PeterMunya @JamesMacharia_ @EugeneLWamalwa And so what! You're the leaders elected to represent us. And when you turn to social media like crying babies, then it's clear umedhindwa na kaxi"
3246,22-Jul-2020,6000,False,"Nairobi, Kenya",GonaJudy,0,"Resilient community conservation models speak to economic and social cultural sustainability of livelihoods for people living in or adjacent to conservation areas. Thank you @Davidchiawo for great insights on building resilience in community based conservation 
#stas2020 https://t.co/7lvt8l7ZkG"
3306,22-Jul-2020,2486,False,"Rusinga Island, Kenya",RusingaFestival,2,The Suba nation has lost a cultural hero! 😭💔 We are saddened by the death of Naphtaly Mattah - who was always on the forefront of the Suba Language revitalization. He was instrumental in the translation of the New Testament into Suba Language. Omwoyo gwae galuuke no owuolu! https://t.co/aJiHlR5p5h
3968,22-Jul-2020,260,False,"Nairobi, Kenya",africanbookhubK,0,"The Havoc of Choice, is a skillfully wooven story of political interferences, corruption, betrayal and love. 
The Dragonfly Sea gives light to various African cultural complexities. 

Get yourself a copy. DM or Contact us on 0714117888/0701925550 for more details and deliveries"
